Gas,"NFR/CRT Group",Source,Activity,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Petroleum coke",kilotonne,-,-,-,-,-,-,-,21.1498395224759,-,-,-,-,-,-,-,78.7510044651485,105.288187200651,156.35552918932,263.643171370959,432.271977335525,184.493387217296,41.7835252712593,95.9512713314233,44.932026594604,-,29.561232,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1aiii,"Heat supply","Gas oil",kilotonne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1305,0.0348000000000001,0.0522000000000001,0.0522000000000001,0.0696000000000001,0.0696000000000001,0.0348000000000001
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion","Fuel oil",kilotonne,1821.567,1999.872,2045.725,2113.195,2185.855,2058.7,2031.4525,2041.8832,1951.04,1528.626,1074.01875,1473.12375,1793.14928,1777.63686,1476.67605,1378.5283433742,871.135639401634,893.891454640045,623.43564763494,523.420880012903,457.207547149073,417.456928925612,306.72861745973,300.667186167777,122.633064759089,241.68081168551,203.409357800419,179.803230503177,174.94752808807,107.761657771004,76.7329441939682,97.6748532146583,154.088995524123,96.5027094067999
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion","Gas oil",kilotonne,59.092,57.3540000000001,57.3540000000001,61.6990000000001,73.8650000000001,87.7690000000001,100.804,133.371,140.94,100.05,147.4563,42.0906000000001,42.8736000000001,173.5389,167.2488,178.8372,37.845,-,-,-,3.01020000000001,0.582900000000001,0.1044,-,-,-,0.00870000000000002,0.00870000000000002,0.00870000000000002,0.00870000000000002,-,0.0348000000000001,0.1044,0.0348000000000001
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion",LPG,kilotonne,13.902921094072,13.7276742644961,13.0266866424792,10.4563986950842,4.84849771894968,7.18512312567241,8.04225651421049,8.84648212398452,30.3837445240953,30.3786275664993,30.3439757498024,34.0795059605493,7.82119898534354,15.3065120014771,15.6288482801045,34.0398993474641,33.6539343441088,33.7723878267121,3.80732304286618,3.75469962531164,4.38648844181597,9.88522742246658,8.01531894548884,5.3407292396041,8.58519950571873,7.08659069434461,6.60015231046934,7.40715846202758,8.75642233572775,5.93973434694885,3.37011519485726,9.25622130840996,19.4453323358574,14.2658101462637
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion","Refinery miscellaneous",kilotonne,16.8,34.4,36.8,46.4,46.4,25.6,43.2,-,-,-,12.176,25.8240000000001,8.59199999999999,-,-,-,-,-,-,-,-,-,-,46.504,-,32.5760000000001,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion",Naphtha,kilotonne,93.9332199639665,97.3492199639662,96.4952199639662,93.0792199639664,85.3932199639666,71.7292199639667,71.7292199639667,86.2472199639668,86.2472199639668,89.6632199639666,87.5367599639668,101.294699963967,89.0824999639667,82.9251599639666,78.1171399639666,74.4790999639665,71.7292199639666,71.7292199639667,65.9458800000001,16.77256,65.3480800000001,59.83124,146.39268,103.47064,86.00634,63.9219,55.9670954121216,66.4673167691982,50.2152,24.2536,-,0.83692,12.02432,16.16622
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion","Natural gas",kilotonne,13.4517275543593,13.8246200058936,96.313895653428,121.818321081968,96.3364581540994,122.728884404594,148.939259355068,156.697097352471,188.846804784504,210.013287505007,284.366931854752,371.539347185452,410.244557316591,399.757787959316,340.199102612645,546.253744932258,538.311349366974,572.618715863157,408.369663696809,410.771296562156,460.898486715584,493.160309102475,450.025495596128,415.112362965288,521.167810483537,474.365281699841,499.7791041759,489.027717813274,609.01807175237,582.925147114366,603.121479775952,601.465498846553,573.319112949399,581.12450347251
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion",OPG,kilotonne,1936.66512102663,1887.79318819878,1866.57113803554,1990.17937732768,1924.98279052811,2059.50814216385,2176.32867476706,2052.63572087354,1947.52308607322,1889.4242365253,1934.27553942199,1750.85167995464,1866.87167839007,1688.39202835146,1980.47946823418,1925.9978827484,2019.01378737398,1934.5675147216,2325.49293124568,2218.88190288612,2365.40995448389,2338.87001432838,1882.52250234337,1971.46993919187,1879.0593354362,1768.06309653939,1812.68170217382,1844.32751167777,1685.39580363656,1644.27623279859,1504.81666506158,1368.77181054765,1593.28394897516,1437.11322142126
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion","Petroleum coke",kilotonne,907.679999999999,969.989999999999,973.709999999999,995.099999999999,881.639999999999,1066.71,1038.81,1100.19,1107.63,1083.45,1147.5642,866.174100000001,1024.9716,946.581900000001,940.741499999999,1272.59807607524,1338.48226148773,1350.17355531818,1281.6723611833,1263.26289507642,1275.46168560787,1419.18,1493.208,1159.90269396,1060.0884,1094.52991219636,1129.11293536909,1111.2132936,1030.35507216,1078.90872127909,841.994099999999,945.196199999999,905.699099999999,1105.8351
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion",Petrol,kilotonne,-,-,-,-,-,-,1.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1ci,"Coke production","Blast furnace gas",kilotonne,320.625896145353,280.974876056352,264.968321523006,259.958900289244,275.627475261407,275.387121724507,293.877546741552,291.364322568859,264.539854526654,290.427496789074,277.070192628059,182.336269266872,136.605180690142,113.256755707646,79.5228036886431,75.0294031698423,149.247191031111,198.399652819263,193.264438326166,151.422557546405,200.670734515485,178.31978361359,179.681572919692,199.625972189611,191.900252752299,172.268099152366,172.109274836607,153.023425813401,162.244182126114,152.970660512709,149.658643076127,137.731534477935,130.927331985963,118.392958153301
"Carbon Dioxide as Carbon",1A1ci,"Coke production","Coke oven gas",kilotonne,238.247639588115,217.499532363763,188.990210663537,169.726319753298,175.01384037232,164.545281447419,198.423186484127,199.864435601392,228.507423695276,212.34304345246,222.247671196631,186.339767181374,168.957106194538,176.490348446573,170.66354601665,170.510393932613,168.985351081243,166.084761568307,164.245618495759,167.641324757289,157.961808666661,143.825708473331,145.475297332029,138.757786007564,140.032012306844,122.372521333329,60.0460926851251,57.2239492652477,55.9187739639496,58.6276746878032,40.1140481506701,42.386236857892,47.0236771212831,29.7631838228912
"Carbon Dioxide as Carbon",1A1ci,"Coke production","Colliery methane",kilotonne,1.70348861034985,1.70348861034985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1ci,"Coke production","Natural gas",kilotonne,0.628400812723956,0.581958219157458,0.64540483593782,0.724249090104085,0.946918109119445,0.549457764937134,1.15146318156859,0.752868821360364,0.352232250473436,0.65708128587273,0.855921914070305,0.453621137846647,-,0.0505152593361903,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.441912383335821,0.397522389329629
"Carbon Dioxide as Carbon",1A1ci,"Solid smokeless fuel production",Coke,kilotonne,-,-,-,-,-,-,-,14.9376907912453,22.5400175525905,17.1888469064223,31.2004613119887,26.1490007920334,13.6133316851884,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
